stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
860016,,"Stockland Rockhampton",, -23.357084, 150.521927,,,0,
860018,,"Musgrave St / Richmond St (Northside Plaza)",, -23.359327, 150.523453,,,0,
860019,,"Musgrave St / Edington St",, -23.361771, 150.523026,,,0,
860020,,"Musgrave St / Burnett St",, -23.364100, 150.522644,,,0,
860021,,"Musgrave St / Armstrong St",, -23.366066, 150.522293,,,0,
860022,,"Queen Elizabeth Dr / Bernard St",, -23.370407, 150.519989,,,0,
860023,,"East St - Hail and Ride Location",, -23.376463, 150.512466,,,0,
860024,,"Bolsover Street Zone A",, -23.378792, 150.512283,,,0,
860049,,"Queen Elizabeth Dr / Brown St",, -23.371212, 150.519089,,,0,
860050,,"Queen Elizabeth Dr/ Kirkellen St",, -23.368748, 150.520782,,,0,
860051,,"Queen Elizabeth Dr / Armstrong St",, -23.366232, 150.521973,,,0,
860052,,"Musgrave St / Burnett St",, -23.363413, 150.522461,,,0,
860053,,"Musgrave / Miles (Northside Plaza)",, -23.359674, 150.523087,,,0,
860055,,"Stockland Shopping Centre",, -23.357090, 150.521988,,,0,
860056,,"Yaamba Rd / Moores Ck Rd",, -23.350470, 150.523743,,,0,
860092,,"Lakes Ck Rd / Bawden St",, -23.372557, 150.530640,,,0,
860093,,"Lakes Ck Rd / Nobbs St",, -23.372583, 150.526764,,,0,
860094,,"Lakes Ck Rd / Goodsall St",, -23.372950, 150.521423,,,0,
860104,,"Bridge St / Musgrave St - Hail and Ride Location",, -23.372459, 150.520355,,,0,
860105,,"Lakes Ck Rd / Bawden St",, -23.372385, 150.530472,,,0,
860106,,"Water St - Hail and Ride Location",, -23.372974, 150.534988,,,0,
860138,,"Rockhampton Base Hospital (Quarry Street)",, -23.379032, 150.493622,,,0,
860139,,"West Rockhampton - Hail and Ride Location",, -23.381098, 150.488693,,,0,
860140,,"Hunter St / Fenlon St  - Hail and Ride Location",, -23.380661, 150.485535,,,0,
860162,,"Hunter St / Fenlon St (Capelec Park)",, -23.380417, 150.485382,,,0,
860163,,"West Rockhampton - Hail and Ride Location",, -23.380928, 150.488831,,,0,
860164,,"Rockhampton Base Hospital (Millroy Street)",, -23.378916, 150.493454,,,0,
860183,,"West Street - Hail and Ride Location",, -23.383724, 150.504837,,,0,
860184,,"Canning Street - Hail and Ride Location",, -23.385910, 150.501343,,,0,
860185,,"Capricorn TAFE",, -23.383703, 150.498886,,,0,
860186,,"Rockhampton Base Hospital (Canning St)",, -23.378399, 150.495071,,,0,
860200,,"Capricorn TAFE",, -23.383606, 150.499069,,,0,
860202,,"Canning Street - Hail and Ride Location",, -23.385761, 150.501205,,,0,
860203,,"West Street - Hail and Ride Location",, -23.383926, 150.504150,,,0,
860224,,"Lakes Ck Rd / Mackay St",, -23.377916, 150.560532,,,0,
860237,,"Yaamba Rd / Boland St",, -23.347422, 150.522354,,,0,
860238,,"Yaamba Rd / Richardson Rd",, -23.342918, 150.520416,,,0,
860239,,"Yaamba Rd CQU",, -23.334175, 150.518280,,,0,
860240,,"Carlton St - Hail and Ride Location",, -23.325657, 150.516876,,,0,
860241,,"Department of Primary Industries",, -23.313211, 150.518875,,,0,
860242,,"Boondoola Rd",, -23.170269, 150.687241,,,0,
860243,,"Milroy Drive",, -23.152706, 150.713837,,,0,
860244,,"Palmer Dr",, -23.142588, 150.724915,,,0,
860245,,"Barmaryee Rd",, -23.136456, 150.725952,,,0,
860246,,"Condon Dr",, -23.132603, 150.728851,,,0,
860247,,"Birdwood Ave",, -23.132957, 150.735916,,,0,
860248,,"Yeppoon Central Shopping Centre",, -23.132750, 150.737610,,,0,
860249,,"Keppel Bay Plaza",, -23.129509, 150.741669,,,0,
860250,,"Hill Street Interchange",, -23.130041, 150.747437,,,0,
860251,,"Yeppoon Sailing Club",, -23.133406, 150.748901,,,0,
860252,,"Sea View Rd",, -23.136253, 150.746948,,,0,
860253,,"Wattle Grv",, -23.139828, 150.755096,,,0,
860254,,"Cooee Bay",, -23.143839, 150.759476,,,0,
860255,,"Geldard St",, -23.145401, 150.760620,,,0,
860256,,"Maida St",, -23.148369, 150.762146,,,0,
860257,,"Lammermoor",, -23.157990, 150.768082,,,0,
860258,,"Clayton Rd",, -23.163773, 150.772430,,,0,
860259,,"Mulambin Rd",, -23.167379, 150.782410,,,0,
860261,,"Rosslyn Bay",, -23.165461, 150.790878,,,0,
860262,,"Mulambin Beach",, -23.190041, 150.791428,,,0,
