gtfs_id,stop_code,name,stop_desc,lat,lon,transport:zone,url,location_type,parent_station,platform_code
place_cabsta,,Caboolture,,-27.08279,152.953552,,,1,,
place_ferint,,Ferny Grove,,-27.400984,152.935339,,,1,,
place_asphyp,,Aspley Hypermarket,,-27.363133,153.012791,,,1,,
place_brooks,,Brookside,,-27.409476,152.978197,,,1,,
place_broplp,,Browns Plains Plaza,,-27.661614,153.042038,,,1,,
place_ccbs,,Cultural Centre,,-27.473437,153.019165,,,1,,
place_CORIND,,Corinda,,-27.539147,152.980003,,,1,,
place_darsta,,Darra,,-27.56585,152.952516,,,1,,
place_empbs,,Eight Mile Plains,,-27.578592,153.101894,,,1,,
place_FERSTN,,Ferny Grove,,-27.401614,152.935777,,,1,,
place_frusta,,Fruitgrove,,-27.598377,153.080075,,,1,,
place_geesta,,Geebung,,-27.368705,153.047353,,,1,,
place_grersl,,Greenbank RSL,,-27.668921,153.031233,,,1,,
place_inapla,,Inala Plaza,,-27.599071,152.974883,,,1,,
place_INTCAN,,Cannon Hill Shopping Centre,,-27.470799,153.096602,,,1,,
place_INTCAR,,Carindale Shopping Centre,,-27.503396,153.102846,,,1,,
place_INTCHE,,Chermside,,-27.3857,153.031499,,,1,,
place_INTENO,,Enoggera,,-27.420437,152.992149,,,1,,
place_INTGCY,,Garden City,,-27.563542,153.080714,,,1,,
place_INTIND,,Indooroopilly,,-27.501124,152.971777,,,1,,
place_INTTBL,,Toombul,,-27.408217,153.060078,,,1,,
place_INTUQ,,UQ Chancellors's Place,,-27.498132,153.011103,,,1,,
place_kepsta,,Keperra,,-27.409234,152.956844,,,1,,
place_kgbs,,King George Square,,-27.468239,153.023736,,,1,,
place_linsta,,Lindum,,-27.441916,153.144908,,,1,,
place_mansta,,Manly,,-27.45738,153.18043,,,1,,
place_MATER,,Mater Hill,,-27.484459,153.028302,,,1,,
place_mgssta,,Morningside,,-27.470832,153.069605,,,1,,
place_mitsta,,Mitchelton,,-27.41162,152.97607,,,1,,
place_moosta,,Moorooka,,-27.53581,153.013959,,,1,,
place_newsta,,Newmarket,,-27.432901,153.010628,,,1,,
place_oxlsta,,Oxley,,-27.552346,152.973748,,,1,,
place_QSBS,,Queen Street,,-27.470384,153.024733,,,1,,
place_qukgbs,,QUT Kelvin Grove,,-27.451974,153.0182,,,1,,
place_RCHSTN,,Richlands,,-27.595629,152.947533,,,1,,
place_SANSTA,,Sandgate,,-27.321935,153.068764,,,1,,
place_strsta,,Strathpine,,-27.311302,152.989788,,,1,,
place_UQLAKE,,UQ Lakes,,-27.497931,153.017927,,,1,,
place_wesstr,,Strathpine Shopping Centre,,-27.307767,152.993325,,,1,,
place_winsta,,Windsor Rail,,-27.43529,153.028986,,,1,,
place_NLKSTA,,North Lakes,,-27.23798,153.017475,,,1,,
place_petsta,,Petrie,,-27.268345,152.981793,,,1,,
place_bbrsta,,Beerburrum,,-26.959892,152.958917,,,1,,
place_bwrsta,,Beerwah,,-26.857057,152.958432,,,1,,
place_eudsta,,Eudlo,,-26.725726,152.956928,,,1,,
place_gmtsta,,Glasshouse Mountains,,-26.899363,152.956306,,,1,,
place_palsta,,Palmwoods,,-26.68867,152.960748,,,1,,
place_wbysta,,Woombye,,-26.660626,152.96291,,,1,,
place_betsta,,Bethania,,-27.688033,153.158206,,,1,,
place_LOGCEN,,Logan Central Plaza,,-27.641959,153.114629,,,1,,
place_loghyp,,Loganholme,,-27.660642,153.173647,,,1,,
place_sprbst,,Springwood,,-27.6149,153.124956,,,1,,
place_stabee,,Beenleigh,,-27.71769,153.204416,,,1,,
place_trista,,Trinder Park,,-27.631721,153.097852,,,1,,
place_wdrsta,,Woodridge,,-27.638116,153.104168,,,1,,
place_capbus,,Capalaba,,-27.523605,153.192088,,,1,,
