gtfs_id,stop_code,name,stop_desc,lat,lon,transport:zone,url,location_type,parent_station
760000,,"Buslink Depot (Lyons Street)",, -23.857695, 151.265137,,,0,
760001,,"Toolooa Fair",, -23.856974, 151.268417,,,0,
760002,,"Short Street",, -23.851076, 151.263397,,,0,
760006,,"Ormonde Street",, -23.846489, 151.250549,,,0,
760007,,"Scenery Street",, -23.846758, 151.250885,,,0,
760008,,"Flinders Street",, -23.848648, 151.248245,,,0,
760009,,"Gladstone Mater Hospital",, -23.850355, 151.246719,,,0,
760010,,"Gladstone Mater Hospital",, -23.850637, 151.246567,,,0,
760012,,"Gladstone Central Shopping Centre",, -23.854296, 151.249649,,,0,
760013,,"Gladstone Central Shopping Centre",, -23.854561, 151.249298,,,0,
760014,,"Gladstone SHS - Hail & Ride Location",, -23.852465, 151.253235,,,0,
760015,,"Breslin Street - Hail & Ride Location",, -23.858162, 151.250015,,,0,
760016,,"Walters Avenue",, -23.859442, 151.249588,,,0,
760017,,"Gladstone West State School",, -23.858358, 151.251526,,,0,
760018,,"West Gladstone",, -23.863966, 151.244812,,,0,
760019,,"Chanel College",, -23.866558, 151.244934,,,0,
760020,,"Larsen Street",, -23.864050, 151.243683,,,0,
760021,,"Steed Street",, -23.868227, 151.246643,,,0,
760022,,"Stockland Gladstone (Philip St)",, -23.870443, 151.242142,,,0,
760023,,"Franmaur St",, -23.876682, 151.257217,,,0,
760027,,"Telina",, -23.887138, 151.255310,,,0,
760028,,"Dixon Drive",, -23.888256, 151.253571,,,0,
760029,,"Corvill Court",, -23.888689, 151.259293,,,0,
760030,,"Dalrymple",, -23.886110, 151.264709,,,0,
760032,,"Toolooa",, -23.885118, 151.268784,,,0,
760033,,"John Dory Drive",, -23.886135, 151.264862,,,0,
760034,,"Witney Street",, -23.888140, 151.250397,,,0,
760035,,"Pioneer Drive",, -23.885254, 151.247711,,,0,
760036,,"Gidgee Court",, -23.876421, 151.254272,,,0,
760037,,"Grevillia Crescent",, -23.877823, 151.244186,,,0,
760038,,"Melia Court",, -23.875618, 151.245163,,,0,
760039,,"Acacia Court",, -23.872271, 151.246658,,,0,
760040,,"Aerodrome Road",, -23.874405, 151.225983,,,0,
760041,,"Gladstone Airport",, -23.871536, 151.223785,,,0,
760042,,"Clinton State School",, -23.878319, 151.223434,,,0,
760043,,"Carinya Dr",, -23.885981, 151.220978,,,0,
760044,,"Hoskyn Court",, -23.885323, 151.219788,,,0,
760045,,"Carinya Park",, -23.885460, 151.212479,,,0,
760046,,"Hayman Court",, -23.884773, 151.214539,,,0,
760047,,"Yellow Patch Court",, -23.884453, 151.217651,,,0,
760048,,"Carinya Dr - Hail & Ride Location",, -23.885818, 151.221436,,,0,
760049,,"Clinton State School - Hail & Ride Location",, -23.879208, 151.223053,,,0,
760050,,"Chapman Drive",, -23.875565, 151.220673,,,0,
760051,,"Wondonga Street",, -23.880346, 151.217377,,,0,
760052,,"Resolute Street",, -23.882448, 151.213547,,,0,
760053,,"Barrine Close",, -23.882595, 151.210663,,,0,
760054,,"Apollo Drive",, -23.878082, 151.214523,,,0,
760055,,"Intrepid Street",, -23.875092, 151.211716,,,0,
760056,,"Aquarius Street - Hail & Ride Location",, -23.877300, 151.212845,,,0,
760061,,"Wistari Street",, -23.871693, 151.221878,,,0,
760062,,"Butler Street",, -23.874184, 151.233032,,,0,
760066,,"Cockatoo Park",, -23.881477, 151.239517,,,0,
760067,,"West Gladstone - Hail & Ride Location",, -23.864079, 151.244934,,,0,
760068,,"Butler Street - Hail & Ride Location",, -23.874086, 151.233414,,,0,
760069,,"Dorset Close - Hail & Ride Location",, -23.875536, 151.235977,,,0,
760070,,"Wicks Street - Hail & Ride Location",, -23.877031, 151.236206,,,0,
760071,,"Beak Street",, -23.880325, 151.235214,,,0,
760072,,"Ashbrook Court",, -23.886467, 151.242050,,,0,
760077,,"Force Street",, -23.861488, 151.246078,,,0,
760078,,"Berringar Street",, -23.861561, 151.246170,,,0,
760079,,"Gladstone Hospital / Rosella School",, -23.852415, 151.247711,,,0,
760080,,"Kent Street",, -23.848890, 151.249329,,,0,
760082,,"Gladstone Central - Hail & Ride Location",, -23.841663, 151.255569,,,0,
760084,,"Queens Hotel",, -23.843979, 151.256180,,,0,
760087,,"Gladstone City (Valley)",, -23.848251, 151.259140,,,0,
760088,,"Warren St - Hail & Ride Location",, -23.857891, 151.252350,,,0,
760090,,"Gladstone City (Valley)",, -23.848219, 151.258896,,,0,
760091,,"Auckland Street / Tank Street",, -23.848312, 151.261703,,,0,
760092,,"Barney Point",, -23.849863, 151.272705,,,0,
760093,,"Barney Point",, -23.849659, 151.272568,,,0,
760096,,"Bell St",, -23.856730, 151.271851,,,0,
760097,,"Bell St",, -23.856646, 151.271851,,,0,
760098,,"Toolooa Fair",, -23.856586, 151.268280,,,0,
760099,,"Kim Street",, -23.863548, 151.268524,,,0,
760100,,"Marten Street",, -23.865763, 151.268173,,,0,
760101,,"Elizabeth Street - Hail & Ride Location",, -23.871298, 151.269669,,,0,
760102,,"South Gladstone",, -23.870703, 151.270493,,,0,
760104,,"Toolooa State High School - Hail & Ride Location",, -23.873592, 151.269958,,,0,
760105,,"Toolooa State High School - Hail & Ride Location",, -23.873281, 151.269760,,,0,
760108,,"Central Queensland TAFE Gladstone",, -23.861044, 151.265411,,,0,
760109,,"Buslink Depot (Lyons Street)",, -23.857502, 151.265076,,,0,
760110,,"Malpas / McLeod - Hail & Ride Location",, -23.959614, 151.346497,,,0,
760112,,"Boyne Island State School - Hail & Ride Location",, -23.949877, 151.356476,,,0,
760113,,"Boyne Plaza",, -23.947159, 151.354538,,,0,
760114,,"Lighthouse Drive",, -23.940214, 151.352432,,,0,
760115,,"Katandra St",, -23.937107, 151.350311,,,0,
760116,,"Tannum Sands - Latrobe St",, -23.952688, 151.363373,,,0,
760117,,"Tannum Sands State High School - Hail & Ride",, -23.959488, 151.363770,,,0,
760118,,"Tannum Sands State School - Hail & Ride Location",, -23.950701, 151.364548,,,0,
760119,,"Tannum Central",, -23.952023, 151.370148,,,0,
760121,,"Booth Avenue - Hail & Ride Location",, -23.947918, 151.369858,,,0,
760122,,"Boyne Island State School - Hail & Ride Location",, -23.950224, 151.356735,,,0,
760123,,"Malpas / McLeod",, -23.960527, 151.345749,,,0,
760124,,"Soppa Street - Hail & Ride Location",, -23.880085, 151.274750,,,0,
760125,,"New Auckland - Hail & Ride Location",, -23.881601, 151.236969,,,0,
760126,,"Emmadale Park - Hail & Ride Location",, -23.887981, 151.240585,,,0,
760127,,"Seaview Heights - Hail & Ride Location",, -23.879465, 151.213516,,,0,
760128,,"Kin Kora State School - Hail & Ride Location",, -23.880140, 151.252075,,,0,
760129,,"Sun Valley - Hail & Ride Location",, -23.879021, 151.245117,,,0,
760130,,"Gladstone Station - Hail & Ride Location",, -23.847254, 151.262939,,,0,
760132,,"Hampton Drive - Hail & Ride Location",, -23.945845, 151.361603,,,0,
760133,,"Davina Street - Hail & Ride Location",, -23.943779, 151.352997,,,0,
760134,,"Alkina Crescent - Hail & Ride Location",, -23.935774, 151.352051,,,0,
