gtfs_id,stop_code,name,stop_desc,lat,lon,transport:zone,url,location_type,parent_station
770000,,"Information Centre",, -25.902359, 153.091827,,,0,
770001,,"Lawrie Hanson Park",, -25.901608, 153.091843,,,0,
770002,,"Rainbow Beach Community Centre",, -25.905716, 153.090332,,,0,
770003,,"Dolphin Shopping Centre",, -25.916618, 153.002365,,,0,
770004,,"Sovereign Cinema",, -26.188143, 152.660812,,,0,
770005,,"Gympie Base Hospital",, -26.184645, 152.659088,,,0,
770006,,"Gympie Base Hospital",, -26.184910, 152.659363,,,0,
770007,,"Violet St f/side Jane Street",, -26.184946, 152.653244,,,0,
770008,,"Oak Street",, -26.179153, 152.651367,,,0,
770009,,"Duke Street",, -26.178995, 152.653198,,,0,
770010,,"Cooinda Street",, -26.172171, 152.664230,,,0,
770011,,"Glasgow Street",, -26.172642, 152.667938,,,0,
770012,,"Billys Resturant",, -26.190088, 152.660614,,,0,
770013,,"The Brown Jug Cafe",, -26.190046, 152.663376,,,0,
770014,,"Gympie Civic Centre",, -26.188709, 152.666794,,,0,
770015,,"Rifle Range Road",, -26.181570, 152.677872,,,0,
770016,,"Rifle Range Road",, -26.184427, 152.681641,,,0,
770017,,"Cootharba Road",, -26.187609, 152.682053,,,0,
770018,,"Cootharba Road",, -26.188921, 152.679947,,,0,
770019,,"Lady Mary Terrace",, -26.190695, 152.669098,,,0,
770020,,"St Patricks Terrace",, -26.192995, 152.666718,,,0,
770021,,"Centro Shopping Centre",, -26.198494, 152.666504,,,0,
770022,,"Mark Lane",, -26.202690, 152.670593,,,0,
770023,,"Information Booth",, -26.217009, 152.684753,,,0,
770024,,"Twin Lakes Caravan Park",, -26.223358, 152.691956,,,0,
770025,,"Lion Recreational Park",, -26.213823, 152.685608,,,0,
770026,,"McVey Road",, -26.210920, 152.688004,,,0,
770027,,"Hinton Road",, -26.199188, 152.672684,,,0,
770028,,"Returned Services League",, -26.188845, 152.659225,,,0,
770029,,"Woolgar Street",, -26.199915, 152.651779,,,0,
770030,,"Andrea Avenue",, -26.201370, 152.650146,,,0,
770031,,"Adrian McClintock Park",, -26.200033, 152.645645,,,0,
770032,,"Lilly Street",, -26.201027, 152.639786,,,0,
770033,,"Oxford Place Retierment Villag",, -26.198639, 152.639633,,,0,
770034,,"Exhibition Road",, -26.198202, 152.649109,,,0,
770035,,"Valentine Street",, -26.196146, 152.646606,,,0,
770036,,"Mulchay Terrace",, -26.178865, 152.666534,,,0,
770037,,"Somerset Street",, -26.176817, 152.671295,,,0,
770038,,"Old Maryborough Road",, -26.175379, 152.672897,,,0,
770039,,"Old Wolvi road",, -26.172123, 152.684204,,,0,
770040,,"Grandis Street",, -26.175325, 152.686752,,,0,
770041,,"Barton Road",, -26.175617, 152.685013,,,0,
770043,,"Bath Terrace",, -26.175146, 152.679840,,,0,
770044,,"Carrington Street",, -26.179829, 152.671753,,,0,
770045,,"Horsehoe Bend Road",, -26.182068, 152.670670,,,0,
770046,,"Channon St app Louisa Street",, -26.184864, 152.664001,,,0,
770047,,"Railway Track",, -26.191706, 152.670654,,,0,
770048,,"Ashford Road",, -26.192137, 152.680862,,,0,
770049,,"Derrilin Road",, -26.194185, 152.683350,,,0,
770050,,"Ten Pin Bowing Club",, -26.196259, 152.680466,,,0,
770051,,"Red Hill Road",, -26.195457, 152.674164,,,0,
770052,,"Appllonian Vale",, -26.191738, 152.670502,,,0,
770054,,"Schumann lane",, -26.192934, 152.666611,,,0,
770055,,"Inglewood Road",, -26.209238, 152.676529,,,0,
770056,,"Roma Street",, -26.211378, 152.679260,,,0,
770057,,"Langton Road",, -26.217402, 152.687042,,,0,
770058,,"Tin Can Bay Rd  app Smith St",, -26.209551, 152.682556,,,0,
770059,,"Noosa Road",, -26.207146, 152.686295,,,0,
770060,,"Pine Street",, -26.179604, 152.655807,,,0,
770061,,"Parsons Rd  app Tucker St",, -26.175613, 152.668213,,,0,
770062,,"Cartwright Road",, -26.176706, 152.662430,,,0,
770063,,"Myall Street",, -26.177355, 152.658127,,,0,
770064,,"Oak Street",, -26.178480, 152.654358,,,0,
770065,,"Iron Street / King Street",, -26.182110, 152.656372,,,0,
770066,,"Bushland Drive",, -26.198347, 152.639053,,,0,
770067,,"Glastonbury Road",, -26.200054, 152.643799,,,0,
770068,,"Eugene Street",, -26.197708, 152.647827,,,0,
770069,,"Neil Street",, -26.195940, 152.649078,,,0,
770070,,"McVey Road",, -26.212513, 152.689651,,,0,
770071,,"Graham Street",, -26.202263, 152.675674,,,0,
770072,,"Hughes Terrace  app Kidgell St",, -26.202465, 152.672256,,,0,
770073,,"Tozer Street",, -26.186028, 152.672791,,,0,
770074,,"Columbia Street",, -26.187862, 152.673691,,,0,
770075,,"Station Road",, -26.189936, 152.674896,,,0,
770076,,"Mellor Street",, -26.187315, 152.669128,,,0,
770077,,"Lady Mary Terrace",, -26.188316, 152.669830,,,0,
770078,,"Pacey Street",, -26.180162, 152.675095,,,0,
770079,,"Kirchener Avenue",, -25.901182, 153.091187,,,0,
770080,,"Nautilus Drive  f/side Santa Maria Ct",, -25.970907, 152.985535,,,0,
770081,,"Vanguard Court",, -25.976028, 152.979782,,,0,
770082,,"Golden Hind Drive",, -25.979763, 152.982559,,,0,
770083,,"Canberra Avenue",, -25.982433, 152.988251,,,0,
770084,,"Investigator Drive",, -25.985353, 152.990845,,,0,
770085,,"Marco Polo Drive",, -25.979212, 152.984940,,,0,
770086,,"Louisa Street",, -26.181799, 152.663055,,,0,
770087,,"Bath Terrace",, -26.174973, 152.679703,,,0,
770088,,"Mellor Street",, -26.187197, 152.668976,,,0,
770089,,"Tozer Street",, -26.185999, 152.672546,,,0,
770090,,"Goomboorian Store",, -26.070894, 152.782120,,,0,
770091,,"Goomboorian Store",, -26.070925, 152.782516,,,0,
770092,,"Exhibition Road",, -26.197918, 152.649628,,,0,
770093,,"Ramsay Road",, -26.200705, 152.648926,,,0,
770094,,"Glastonbury Rd  app Exhibition Rd",, -26.199903, 152.643799,,,0,
