gtfs_id,stop_code,name,stop_desc,lat,lon,transport:zone,url,location_type,parent_station
720000,,"Williams St",, -20.013756, 148.245834,,,0,,
720006,,"Sinclair St",, -20.015701, 148.242416,,,0,,
720007,,"Gregory St",, -20.014805, 148.245163,,,0,,
720009,,"Herbert St",, -20.013006, 148.246628,,,0,,
720010,,"Bowen Hospital",, -20.007534, 148.240646,,,0,,
720011,,"Herbert / Livingstone",, -20.007570, 148.243088,,,0,,
720012,,"Daniel St",, -20.005291, 148.241837,,,0,,
720013,,"Scott St",, -20.004776, 148.238831,,,0,,
720014,,"Carleton Av",, -20.002926, 148.237640,,,0,,
720015,,"Banksia St",, -20.001930, 148.237030,,,0,,
720016,,"Centre Point Plaza",, -20.001371, 148.238647,,,0,,
720017,,"Cunningham Home",, -19.992828, 148.242798,,,0,,
720018,,"Tollington / Wests",, -19.992069, 148.242172,,,0,,
720019,,"Wests St",, -19.991793, 148.240829,,,0,,
720020,,"Wests Lane",, -19.991684, 148.239685,,,0,,
720021,,"Wests / Argyle Park",, -19.991404, 148.236862,,,0,,
720022,,"Argyle Park Rd",, -19.989361, 148.236755,,,0,,
720023,,"Mackenzie St",, -19.986570, 148.236496,,,0,,
720024,,"Field St",, -19.984304, 148.235123,,,0,,
720026,,"Wangaratta Golf Course",, -19.981791, 148.233246,,,0,,
720027,,"Lloyds Ln",, -19.981079, 148.231628,,,0,,
720028,,"Murroona / Bryant",, -19.978025, 148.229874,,,0,,
720029,,"Queens Beach Medical Centre",, -19.976690, 148.228973,,,0,,
720030,,"Murroona / Murray",, -19.974281, 148.227371,,,0,,
720031,,"Edgecombe Av",, -19.972307, 148.226532,,,0,,
720032,,"Scott Av",, -19.970823, 148.225357,,,0,,
720033,,"Clement Av",, -19.972347, 148.225479,,,0,,
720034,,"Gloucester St",, -19.973501, 148.226212,,,0,,
720035,,"Tracey / Murray",, -19.974119, 148.226028,,,0,,
720036,,"Tracey St",, -19.976137, 148.227371,,,0,,
720037,,"Tracey / Bryant",, -19.978329, 148.228836,,,0,,
720038,,"Lloyds Ln",, -19.980705, 148.231033,,,0,,
720039,,"Wangaratta Golf Course",, -19.981636, 148.233124,,,0,,
720040,,"Field St",, -19.983528, 148.234650,,,0,,
720041,,"Tollington / Argyle Park",, -19.987225, 148.238159,,,0,,
720042,,"Tollington Rd",, -19.991642, 148.241959,,,0,,
720043,,"Suthers St",, -19.992178, 148.236542,,,0,,
720044,,"Emmerson Dr",, -19.993855, 148.236359,,,0,,
720045,,"Rosshall Rd",, -19.998083, 148.235870,,,0,,
720046,,"Hillview Rd",, -19.999645, 148.242264,,,0,,
720047,,"Hammon St",, -19.999100, 148.236923,,,0,,
720048,,"Herbert / Livingstone",, -20.007154, 148.243301,,,0,,
720049,,"Livingstone / Leichhardt",, -20.010769, 148.237823,,,0,,
720050,,"Bowen RSL",, -20.011536, 148.248734,,,0,,
720051,,"Santa Barbara Dr",, -20.014721, 148.252747,,,0,,
720052,,"Soldiers Rd",, -19.989080, 148.243805,,,0,,
720053,,"Argyle St",, -19.986147, 148.242310,,,0,,
720054,,"Saint Kilda St",, -19.986443, 148.245316,,,0,,
720055,,"Crofton St",, -19.986706, 148.248062,,,0,,
720056,,"Prentice St",, -19.986906, 148.250534,,,0,,
720057,,"Rose Bay",, -19.992060, 148.265228,,,0,,
720058,,"Horeshoe Bay",, -19.979916, 148.259949,,,0,,
720059,,"Prentice St",, -19.986980, 148.250610,,,0,,
720060,,"Coral St",, -19.987946, 148.247116,,,0,,
720061,,"Saint Kilda St",, -19.986460, 148.244736,,,0,,
720062,,"Verna St",, -19.987207, 148.244095,,,0,,
720063,,"Vincent St",, -19.988325, 148.243973,,,0,,
720064,,"Richmond St",, -20.000618, 148.233429,,,0,,
720065,,"John St",, -20.001972, 148.233307,,,0,,
720066,,"Sunset Ct",, -20.003086, 148.233200,,,0,,
720067,,"Pilcher Pl",, -20.004278, 148.233414,,,0,,
720068,,"Rayner St",, -20.006178, 148.233200,,,0,,
720069,,"Russell St",, -20.006546, 148.231934,,,0,,
720070,,"Canberra St",, -20.007561, 148.231079,,,0,,
720071,,"Pantall St",, -20.009119, 148.230591,,,0,,
720072,,"Belgravia Rd",, -20.011189, 148.231476,,,0,,
720073,,"Gillies St",, -20.010939, 148.232864,,,0,,
720074,,"Reynolds St",, -20.010269, 148.234039,,,0,,
720075,,"Bunting St",, -20.011301, 148.235031,,,0,,
720076,,"Kennedy St",, -20.013313, 148.235977,,,0,,
720077,,"Norris St",, -20.014126, 148.234528,,,0,,
720078,,"Poole St",, -20.015589, 148.235001,,,0,,
720079,,"Gordon St",, -20.016729, 148.235718,,,0,,
720080,,"Powell / Norris",, -20.017511, 148.236588,,,0,,
720081,,"Powell St",, -20.016830, 148.237823,,,0,,
720082,,"Mitchell / Powell",, -20.017111, 148.238739,,,0,,
720083,,"George / Mitchell",, -20.018608, 148.240051,,,0,,
720084,,"Leichhardt St",, -20.017462, 148.241486,,,0,,
720085,,"Dalrymple St (Village Life)",, -20.016893, 148.245834,,,0,,
720086,,"George / Herbert",, -20.014732, 148.247314,,,0,,
