stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
810000,,St Patricks College,,-21.138903,149.184021,,,0,
810001,,Caneland Central,,-21.139277,149.176941,,,0,
810002,,Caneland Central,,-21.139393,149.17691,,,0,
810003,,Gregory Street,,-21.141815,149.184616,,,0,
810004,,Gregory Street,,-21.141655,149.184479,,,0,
810005,,Macalister Street,,-21.143694,149.183075,,,0,
810006,,Alfred Street,,-21.145346,149.186234,,,0,
810007,,Carlyle St,,-21.147873,149.189346,,,0,
810008,,Victoria Park State School,,-21.148579,149.194672,,,0,
810009,,Creal Street,,-21.146912,149.199112,,,0,
810010,,Hoey Street,,-21.151718,149.199646,,,0,
810011,,Evan Street,,-21.152655,149.195068,,,0,
810012,,Macarthur Street,,-21.153332,149.189377,,,0,
810014,,McLean Street,,-21.157652,149.192413,,,0,
810015,,Hart Street,,-21.158195,149.190918,,,0,
810016,,Scott Street,,-21.161114,149.18985,,,0,
810017,,Hart Street,,-21.163488,149.190811,,,0,
810018,,Keelan Street,,-21.166368,149.191193,,,0,
810019,,Petrie Street,,-21.167868,149.193253,,,0,
810020,,Beverley Street,,-21.164551,149.194702,,,0,
810021,,Bridge Road,,-21.163939,149.192917,,,0,
810022,,Goldsmith Street,,-21.161537,149.191772,,,0,
810023,,McLean Street,,-21.157644,149.192291,,,0,
810024,,Evan Street,,-21.154226,149.19812,,,0,
810025,,Rae Street,,-21.148792,149.200272,,,0,
810026,,Creal Street,,-21.147051,149.199112,,,0,
810029,,Gibson Street,,-21.145412,149.1689,,,0,
810030,,Morrison St,,-21.148148,149.163895,,,0,
810031,,Holland St,,-21.149664,149.162476,,,0,
810032,,Jackson St,,-21.148647,149.159866,,,0,
810033,,Mackay Base Hospital,,-21.145794,149.156326,,,0,
810034,,Jackston St,,-21.148546,149.159943,,,0,
810035,,Donaldson Street,,-21.152267,149.158417,,,0,
810036,,Holland Street,,-21.154081,149.157623,,,0,
810037,,Lagoon St,,-21.158018,149.160126,,,0,
810038,,Simpson St,,-21.162384,149.1651,,,0,
810039,,Mogford Street,,-21.160624,149.166779,,,0,
810040,,Smith Street,,-21.157385,149.169083,,,0,
810041,,Longair Street,,-21.156689,149.171051,,,0,
810042,,Longair St app Paulette St,,-21.153923,149.173691,,,0,
810043,,Johnson St app Field St,,-21.150381,149.173096,,,0,
810044,,George Street,,-21.150105,149.17662,,,0,
810045,,Griffin Street,,-21.148617,149.177017,,,0,
810046,,James Street,,-21.150553,149.180069,,,0,
810047,,Mackay State High School,,-21.154375,149.177109,,,0,
810048,,Dennis Street,,-21.158295,149.179871,,,0,
810049,,Nella Drive,,-21.162096,149.173553,,,0,
810050,,Graffunder Street,,-21.161535,149.168594,,,0,
810051,,Ulanda Drive,,-21.162428,149.166626,,,0,
810052,,Ulanda Drive,,-21.164059,149.16893,,,0,
810053,,Ivana Court,,-21.165781,149.168091,,,0,
810054,,Absolon Street,,-21.167103,149.16684,,,0,
810055,,Absolon Street,,-21.167566,149.169724,,,0,
810056,,Clements Street,,-21.166286,149.17186,,,0,
810057,,Webster Street,,-21.165169,149.173599,,,0,
810058,,Eimeo,,-21.156725,149.17955,,,0,
810059,,Mackay State High School,,-21.154264,149.177109,,,0,
810060,,Kenilworth Street,,-21.151917,149.180115,,,0,
810061,,George Street,,-21.150679,149.180099,,,0,
810062,,Wellington St,,-21.146603,149.179688,,,0,
810063,,Stop 810063,,-21.124802,149.188751,,,0,
810064,,Ernest Street,,-21.119255,149.189575,,,0,
810065,,Gaylard St,,-21.118832,149.192184,,,0,
810066,,Evans Avenue,,-21.12731,149.189499,,,0,
810067,,Mackay Harbour Caravan Park,,-21.11334,149.206635,,,0,
810068,,Kenmore St,,-21.090193,149.212387,,,0,
810069,,Jansen Street,,-21.086063,149.212906,,,0,
810070,,Teal Street,,-21.082203,149.213409,,,0,
810071,,Finch Street,,-21.078541,149.213943,,,0,
810072,,Swan St,,-21.075277,149.214401,,,0,
810073,,Ocean Avenue,,-21.071375,149.218582,,,0,
810074,,Bracken Street,,-21.071262,149.220184,,,0,
810075,,Michael Street,,-21.073633,149.222305,,,0,
810076,,Cumberland Ave,,-21.076805,149.225616,,,0,
