stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
840000,,Hervey Bay Hospital,,-25.300364,152.821198,,,0,
840001,,Hervey Bay Hospital,,-25.298824,152.822845,,,0,
840002,,Caddy Avenue,,-25.291088,152.824951,,,0,
840003,,Nissen Street,,-25.288334,152.826416,,,0,
840004,, Fraser Shores Shopping Centre,,-25.287216,152.828003,,,0,
840005,,Caddy Avenue,,-25.291292,152.824936,,,0,
840006,,Hervey Bay Hospital (Nissen),,-25.300079,152.822418,,,0,
840007,,Wide Bay TAFE,,-25.301281,152.829529,,,0,
840008,,Taylor Street,,-25.28879,152.842926,,,0,
840009,,McNally Street,,-25.289692,152.850388,,,0,
840010,,Queens Road,,-25.289799,152.851807,,,0,
840011,,Kululu Street,,-25.291086,152.855774,,,0,
840012,,Junjaree Street,,-25.294247,152.853912,,,0,
840013,,Kawungan Primary School,,-25.299173,152.851974,,,0,
840014,,Honeysuckle Avenue,,-25.298145,152.85614,,,0,
840015,,Baycrest Retierment Village,,-25.305563,152.844772,,,0,
840016,,Ian Avenue,,-25.307358,152.837875,,,0,
840017,,Stockland Hervey Bay,,-25.289291,152.834122,,,0,
840018,,Eli Waters,,-25.287262,152.816666,,,0,
840019,,Eli Waters,,-25.287439,152.816101,,,0,
840020,,Bowerbird Avenue,,-25.283926,152.814941,,,0,
840021,,Bowerbird Avenue,,-25.285612,152.815872,,,0,
840023,,Romney Street,,-25.282625,152.825607,,,0,
840024,,Carlo Street,,-25.286612,152.831451,,,0,
840025,,Carlo Street,,-25.286581,152.831329,,,0,
840028,,Hervey Bay Senior College,,-25.283424,152.832626,,,0,
840029,,University of Southern Queensland,,-25.284113,152.837692,,,0,
840030,,University of Southern Queensland,,-25.284254,152.837723,,,0,
840031,,Hervey Bay Senior College,,-25.283592,152.833038,,,0,
840032,,Main Street Pialba,,-25.282637,152.839142,,,0,
840033,,Pialba RSL,,-25.281824,152.840836,,,0,
840034,,Pialba RSL,,-25.281654,152.840408,,,0,
840035,,East Main Street - Pialba,,-25.285883,152.838608,,,0,
840036,,East Main Street - Pialba,,-25.286243,152.83844,,,0,
840037,,Bryant Street,,-25.2822,152.84198,,,0,
840038,,Neils Street,,-25.284201,152.844986,,,0,
840039,,Zephyr Street,,-25.285429,152.848114,,,0,
840040,,Down Street,,-25.286303,152.852921,,,0,
840041,,Gossner Street,,-25.286749,152.857834,,,0,
840042,,Denmans Camp Road,,-25.288237,152.86084,,,0,
840043,,Denmans Camp Road,,-25.28813,152.860748,,,0,
840046,,Torquay / Totness,,-25.286737,152.866302,,,0,
840047,,Bideford Street,,-25.288164,152.870132,,,0,
840048,,Torquay State School,,-25.286863,152.864609,,,0,
840049,,Gossner Street,,-25.286795,152.856979,,,0,
840050,,Down Street,,-25.286259,152.85199,,,0,
840051,,Zephyr Street,,-25.285503,152.847885,,,0,
840052,,Neils Street,,-25.284252,152.844833,,,0,
840053,,Bryant Street,,-25.28274,152.84259,,,0,
840054,,Scarness,,-25.284187,152.85585,,,0,
840055,,Scarness Waterfront,,-25.284292,152.860168,,,0,
840056,,Charlton Esplanade,,-25.28422,152.86496,,,0,
840057,,Bideford Street,,-25.284225,152.86972,,,0,
840058,,Macks Road,,-25.284052,152.873703,,,0,
840059,,Charlton Esplanade app Robert Street,,-25.283169,152.877609,,,0,
840060,,Esplanade / Ann St,,-25.282095,152.882416,,,0,
840061,,Bideford Street,,-25.284336,152.869644,,,0,
840062,,Charlton Esplanade,,-25.284338,152.866196,,,0,
840063,,Riviera Resort,,-25.284338,152.86264,,,0,
840064,,Scarness,,-25.284214,152.855606,,,0,
