gtfs_id,stop_code,name,stop_desc,lat,lon,transport:zone,url,location_type,parent_station
880000,,"Murphys Creek Rd",, -27.505232, 151.955765,,,0,
880001,,"Grey Gums Dr",, -27.502630, 151.954605,,,0,
880002,,"Hi Winds Rd",, -27.495684, 151.951401,,,0,
880003,,"Toowoomba Christian College",, -27.486662, 151.948563,,,0,
880004,,"Ninderry Dr",, -27.469152, 151.947205,,,0,
880005,,"Nichols Rd",, -27.466623, 151.950424,,,0,
880006,,"Lorikeet St",, -27.462860, 151.952988,,,0,
880007,,"Highfields / Kuhls",, -27.458452, 151.949356,,,0,
880008,,"Clarke Rd",, -27.454983, 151.953568,,,0,
880009,,"Acacia Ct",, -27.456604, 151.957214,,,0,
880010,,"Highfields Plaza",, -27.458609, 151.959229,,,0,
880011,,"Cronin Rd",, -27.455845, 151.967133,,,0,
880012,,"Sugarloaf Rd",, -27.453033, 151.983124,,,0,
880013,,"Borneo Barracks",, -27.444204, 151.988953,,,0,
880014,,"Evans Rd",, -27.432091, 151.991089,,,0,
880015,,"Cabarlah",, -27.427347, 151.991837,,,0,
880016,,"Reushle Rd",, -27.417608, 151.993713,,,0,
880017,,"Merritts Creek",, -27.376652, 152.024841,,,0,
880018,,"Brennan Rd",, -27.368347, 152.051010,,,0,
880019,,"Hampton Rd",, -27.361052, 152.052292,,,0,
880020,,"Hampton Store",, -27.356266, 152.068726,,,0,
880021,,"Grapetree Rd",, -27.331421, 152.064041,,,0,
880022,,"Pechey",, -27.307581, 152.044998,,,0,
880024,,"Hirning St",, -27.273323, 152.055496,,,0,
880025,,"Parkland Dr",, -27.268038, 152.058395,,,0,
880027,,"Matthew Crt",, -27.270540, 152.059357,,,0,
880029,,"Samuel Ave",, -27.269817, 152.061569,,,0,
880031,,"South St",, -27.266979, 152.063080,,,0,
880032,,"Jones St",, -27.265100, 152.062164,,,0,
880034,,"Burkes Ln",, -27.265949, 152.058197,,,0,
880037,,"Community Pl",, -27.262236, 152.055023,,,0,
880040,,"Sharp St",, -27.260710, 152.051590,,,0,
880041,,"Thallon St",, -27.258959, 152.051773,,,0,
880043,,"Church St",, -27.258659, 152.054443,,,0,
