stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
890000,890000,Stockland Aitkenvale (Elizabeth St),,-19.298296,146.764443,,http://translink.com.au/stop/890000/gtfs/,0,
890001,890001,Anne Street,,-19.290118,146.76625,,http://translink.com.au/stop/890001/gtfs/,0,
890002,890002,Vincent State School,,-19.2885,146.764279,,http://translink.com.au/stop/890002/gtfs/,0,
890003,890003,Vincent Village,,-19.288175,146.761828,,http://translink.com.au/stop/890003/gtfs/,0,
890004,890004,St James Village,,-19.288272,146.759731,,http://translink.com.au/stop/890004/gtfs/,0,
890005,890005,Heatley Park,,-19.287369,146.756899,,http://translink.com.au/stop/890005/gtfs/,0,
890006,890006,Heatley Secondary College,,-19.287961,146.753788,,http://translink.com.au/stop/890006/gtfs/,0,
890007,890007,Angus Ave,,-19.287308,146.75065,,http://translink.com.au/stop/890007/gtfs/,0,
890008,890008,Louisa Ck,,-19.283176,146.750317,,http://translink.com.au/stop/890008/gtfs/,0,
890009,890009,Pankina St,,-19.280726,146.750552,,http://translink.com.au/stop/890009/gtfs/,0,
890010,890010,High Vista Dr,,-19.27907,146.749587,,http://translink.com.au/stop/890010/gtfs/,0,
890011,890011,Galway Ct,,-19.277148,146.749635,,http://translink.com.au/stop/890011/gtfs/,0,
890012,890012,Banora Ct,,-19.274987,146.749876,,http://translink.com.au/stop/890012/gtfs/,0,
890013,890013,Hastings St,,-19.274647,146.748902,,http://translink.com.au/stop/890013/gtfs/,0,
890014,890014,Bennett St,,-19.273368,146.744059,,http://translink.com.au/stop/890014/gtfs/,0,
890015,890015,Stretton La,,-19.271329,146.744333,,http://translink.com.au/stop/890015/gtfs/,0,
890016,890016,Partridge St,,-19.271523,146.746374,,http://translink.com.au/stop/890016/gtfs/,0,
890017,890017,High Vista Park,,-19.271648,146.748637,,http://translink.com.au/stop/890017/gtfs/,0,
890018,890018,Greg Jabs Court,,-19.27251,146.755811,,http://translink.com.au/stop/890018/gtfs/,0,
890019,890019,Bayswater / Duckworth,,-19.273121,146.760981,,http://translink.com.au/stop/890019/gtfs/,0,
890020,890020,Pilkington St,,-19.273539,146.766027,,http://translink.com.au/stop/890020/gtfs/,0,
890021,890021,Bayswater / Mooney,,-19.274542,146.773203,,http://translink.com.au/stop/890021/gtfs/,0,
890022,890022,Trevor Street,,-19.274694,146.774687,,http://translink.com.au/stop/890022/gtfs/,0,
890023,890023,Ferguson St,,-19.27499,146.777581,,http://translink.com.au/stop/890023/gtfs/,0,
890024,890024,Reardon St,,-19.275233,146.77995,,http://translink.com.au/stop/890024/gtfs/,0,
890025,890025,Hugh St,,-19.275349,146.781268,,http://translink.com.au/stop/890025/gtfs/,0,
890026,890026,Bayswater / Hugh,,-19.275685,146.784398,,http://translink.com.au/stop/890026/gtfs/,0,
890027,890027,Hindley St,,-19.275995,146.787374,,http://translink.com.au/stop/890027/gtfs/,0,
890028,890028,Bayswater / Kings,,-19.276402,146.791657,,http://translink.com.au/stop/890028/gtfs/,0,
890029,890029,Castletown Shopping Centre,,-19.27306,146.79017,,http://translink.com.au/stop/890029/gtfs/,0,
890030,890030,Townsville Showgrounds,,-19.269367,146.79283,,http://translink.com.au/stop/890030/gtfs/,0,
890031,890031,Humphrey St,,-19.266749,146.793352,,http://translink.com.au/stop/890031/gtfs/,0,
890032,890032,North St,,-19.264824,146.793591,,http://translink.com.au/stop/890032/gtfs/,0,
890033,890033,Ralston St,,-19.261923,146.792243,,http://translink.com.au/stop/890033/gtfs/,0,
890034,890034,Cutheringa Park,,-19.25941,146.786577,,http://translink.com.au/stop/890034/gtfs/,0,
890035,890035,Stagpole St,,-19.255444,146.787566,,http://translink.com.au/stop/890035/gtfs/,0,
890036,890036,William St,,-19.254149,146.78781,,http://translink.com.au/stop/890036/gtfs/,0,
890037,890037,Old Common Rd,,-19.250341,146.789451,,http://translink.com.au/stop/890037/gtfs/,0,
890038,890038,Evans St,,-19.249163,146.791204,,http://translink.com.au/stop/890038/gtfs/,0,
890039,890039,Taylor  St,,-19.248379,146.792385,,http://translink.com.au/stop/890039/gtfs/,0,
890040,890040,Bishop St,,-19.246393,146.793746,,http://translink.com.au/stop/890040/gtfs/,0,
890041,890041,Marshall St (Belgian Gardens),,-19.245453,146.797454,,http://translink.com.au/stop/890041/gtfs/,0,
890042,890042,Howitt St,,-19.245007,146.799961,,http://translink.com.au/stop/890042/gtfs/,0,
890043,890043,Landsborough St,,-19.247371,146.805925,,http://translink.com.au/stop/890043/gtfs/,0,
890044,890044,Burke St,,-19.2494,146.809568,,http://translink.com.au/stop/890044/gtfs/,0,
890045,890045,Kennedy St,,-19.250717,146.811923,,http://translink.com.au/stop/890045/gtfs/,0,
890046,890046,Leichhardt St (North Ward),,-19.252344,146.814066,,http://translink.com.au/stop/890046/gtfs/,0,
890048,890048,Leichhardt St (North Ward),,-19.25204,146.813487,,http://translink.com.au/stop/890048/gtfs/,0,
890049,890049,Kennedy St,,-19.250682,146.811484,,http://translink.com.au/stop/890049/gtfs/,0,
890050,890050,Burke St,,-19.2483,146.807219,,http://translink.com.au/stop/890050/gtfs/,0,
890051,890051,Landsborough St,,-19.246709,146.804339,,http://translink.com.au/stop/890051/gtfs/,0,
890052,890052,Howitt St,,-19.245102,146.800859,,http://translink.com.au/stop/890052/gtfs/,0,
890053,890053,Marshall St (Belgian Gardens),,-19.245637,146.797594,,http://translink.com.au/stop/890053/gtfs/,0,
890054,890054,Taylor St,,-19.248755,146.792199,,http://translink.com.au/stop/890054/gtfs/,0,
890055,890055,Evans St,,-19.249302,146.791364,,http://translink.com.au/stop/890055/gtfs/,0,
890056,890056,Old Common Rd,,-19.250335,146.789829,,http://translink.com.au/stop/890056/gtfs/,0,
890057,890057,William St,,-19.25394,146.788075,,http://translink.com.au/stop/890057/gtfs/,0,
890058,890058,Stagpole St,,-19.255604,146.787745,,http://translink.com.au/stop/890058/gtfs/,0,
890059,890059,Harold St,,-19.257137,146.78746,,http://translink.com.au/stop/890059/gtfs/,0,
890060,890060,Cutheringa Park,,-19.259136,146.786881,,http://translink.com.au/stop/890060/gtfs/,0,
890061,890061,Crauford St,,-19.260714,146.789027,,http://translink.com.au/stop/890061/gtfs/,0,
890062,890062,Ralston St,,-19.261698,146.792234,,http://translink.com.au/stop/890062/gtfs/,0,
890063,890063,North St,,-19.265088,146.79365,,http://translink.com.au/stop/890063/gtfs/,0,
890064,890064,Humphrey St,,-19.266877,146.793424,,http://translink.com.au/stop/890064/gtfs/,0,
890065,890065,Townsville Showgrounds,,-19.269643,146.792968,,http://translink.com.au/stop/890065/gtfs/,0,
890066,890066,Bayswater/ Kings,,-19.276596,146.791535,,http://translink.com.au/stop/890066/gtfs/,0,
890067,890067,Latchford St,,-19.276341,146.789444,,http://translink.com.au/stop/890067/gtfs/,0,
890068,890068,Hindley St,,-19.275973,146.785836,,http://translink.com.au/stop/890068/gtfs/,0,
890069,890069,Bayswater / Hugh,,-19.275819,146.784339,,http://translink.com.au/stop/890069/gtfs/,0,
890070,890070,Reardon St,,-19.275357,146.779818,,http://translink.com.au/stop/890070/gtfs/,0,
890071,890071,Pilkington St,,-19.273944,146.76705,,http://translink.com.au/stop/890071/gtfs/,0,
890072,890072,Bayswater / Duckworth,,-19.273311,146.761233,,http://translink.com.au/stop/890072/gtfs/,0,
890073,890073,Greg Jabs Court,,-19.272837,146.756218,,http://translink.com.au/stop/890073/gtfs/,0,
890074,890074,Buchanan St,,-19.272306,146.750914,,http://translink.com.au/stop/890074/gtfs/,0,
890075,890075,High Vista Park,,-19.272063,146.749344,,http://translink.com.au/stop/890075/gtfs/,0,
890076,890076,Bennett St,,-19.27329,146.743919,,http://translink.com.au/stop/890076/gtfs/,0,
890077,890077,Hastings St,,-19.27441,146.747352,,http://translink.com.au/stop/890077/gtfs/,0,
890078,890078,Mt Louisa Dr,,-19.274628,146.749047,,http://translink.com.au/stop/890078/gtfs/,0,
890079,890079,Banora Ct,,-19.275132,146.749964,,http://translink.com.au/stop/890079/gtfs/,0,
890080,890080,Galway Ct,,-19.277291,146.749723,,http://translink.com.au/stop/890080/gtfs/,0,
890081,890081,High Vista Dr,,-19.279002,146.749674,,http://translink.com.au/stop/890081/gtfs/,0,
890082,890082,Pankina St,,-19.280739,146.750655,,http://translink.com.au/stop/890082/gtfs/,0,
890083,890083,Louisa Ck,,-19.283343,146.750327,,http://translink.com.au/stop/890083/gtfs/,0,
890084,890084,Angus Ave,,-19.287262,146.750798,,http://translink.com.au/stop/890084/gtfs/,0,
890085,890085,Heatley Secondary College,,-19.287243,146.754728,,http://translink.com.au/stop/890085/gtfs/,0,
890086,890086,St James Village,,-19.288159,146.760204,,http://translink.com.au/stop/890086/gtfs/,0,
890087,890087,Vincent Village,,-19.287936,146.76208,,http://translink.com.au/stop/890087/gtfs/,0,
890088,890088,Vincent State School,,-19.288428,146.764507,,http://translink.com.au/stop/890088/gtfs/,0,
890089,890089,Anne St,,-19.28935,146.766102,,http://translink.com.au/stop/890089/gtfs/,0,
890090,890090,Anne St,,-19.29719,146.767164,,http://translink.com.au/stop/890090/gtfs/,0,
890091,890091,Stockland Aitkenvale (Ross River Rd),,-19.298222,146.762857,,http://translink.com.au/stop/890091/gtfs/,0,
890092,890092,The Townsville Hospital,,-19.319625,146.761777,,http://translink.com.au/stop/890092/gtfs/,0,
890093,890093,The Townsville Hospital,,-19.319525,146.761525,,http://translink.com.au/stop/890093/gtfs/,0,
890099,890099,James Cook University (Douglas Campus),,-19.327745,146.755898,,http://translink.com.au/stop/890099/gtfs/,0,
890100,890100,George Roberts Hall,,-19.324388,146.750767,,http://translink.com.au/stop/890100/gtfs/,0,
890101,890101,Tennant St,,-19.314976,146.761233,,http://translink.com.au/stop/890101/gtfs/,0,
890102,890102,Leopold St,,-19.30429,146.760679,,http://translink.com.au/stop/890102/gtfs/,0,
890103,890103,Lonsdale St,,-19.289262,146.767537,,http://translink.com.au/stop/890103/gtfs/,0,
890104,890104,Swanson St,,-19.288481,146.77058,,http://translink.com.au/stop/890104/gtfs/,0,
890105,890105,Sheffield St,,-19.28612,146.771141,,http://translink.com.au/stop/890105/gtfs/,0,
890106,890106,McDonald St,,-19.283955,146.771385,,http://translink.com.au/stop/890106/gtfs/,0,
890107,890107,Tippett St,,-19.281927,146.771618,,http://translink.com.au/stop/890107/gtfs/,0,
890108,890108,Goodwin St,,-19.278884,146.772008,,http://translink.com.au/stop/890108/gtfs/,0,
890109,890109,Maroong St,,-19.276908,146.772328,,http://translink.com.au/stop/890109/gtfs/,0,
890110,890110,Lonerganne St,,-19.262323,146.774864,,http://translink.com.au/stop/890110/gtfs/,0,
890111,890111,Clarke St,,-19.260955,146.775027,,http://translink.com.au/stop/890111/gtfs/,0,
890112,890112,Dearness St,,-19.259237,146.775245,,http://translink.com.au/stop/890112/gtfs/,0,
890113,890113,Halifax St,,-19.257534,146.775461,,http://translink.com.au/stop/890113/gtfs/,0,
890114,890114,Lockheed St,,-19.257031,146.776789,,http://translink.com.au/stop/890114/gtfs/,0,
890115,890115,Peel / Lockheed,,-19.257674,146.778107,,http://translink.com.au/stop/890115/gtfs/,0,
890116,890116,Lancaster St,,-19.2588,146.777773,,http://translink.com.au/stop/890116/gtfs/,0,
890119,890119,Peel St,,-19.263282,146.777767,,http://translink.com.au/stop/890119/gtfs/,0,
